messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,1,35633,45.0523,7.65491,270,6.92,0.6
2,5,35747,45.0523,7.65687,270,13.88,-0.6
2,7,35952,45.0531,7.65614,90,6.93,0.2
2,5,36047,45.0523,7.65682,270,13.87,-1
2,3,36080,45.0531,7.65747,90,9.7,0.3
2,1,36233,45.0523,7.65486,270,6.92,-0.2
2,5,36347,45.0523,7.65677,270,13.88,0.1
2,1,36433,45.0523,7.65483,275.4,6.93,-0.4
2,7,36552,45.0531,7.6562,90,6.92,-1.2
2,3,36580,45.0531,7.65754,90,9.7,-1.2
2,1,36633,45.0523,7.65482,282.9,6.92,-1.1
2,5,36647,45.0523,7.65671,270,13.88,0.5
2,1,36833,45.0523,7.6548,291,6.93,-0.2
2,1,36933,45.0523,7.6548,295.1,6.93,0.9
2,5,36947,45.0523,7.65666,270,13.88,-0.2
2,1,37033,45.0523,7.65479,299.2,6.92,-0.6
2,3,37080,45.0531,7.6576,90,9.7,0
2,1,37133,45.0523,7.65478,303.6,6.92,-0.9
2,7,37152,45.0531,7.65625,90,6.92,-1
2,1,37233,45.0523,7.65478,303.6,6.92,0.3
2,5,37247,45.0523,7.65661,270,13.88,0.2
2,1,37333,45.0523,7.65477,303.6,6.93,1.6
2,1,37433,45.0523,7.65476,303.6,6.93,0.4
2,1,37533,45.0523,7.65476,303.6,6.93,1.5
2,5,37547,45.0523,7.65656,270,13.87,-0.3
2,3,37580,45.0531,7.65766,90,9.7,-1
2,7,37752,45.0531,7.6563,90,6.92,-0.3
2,5,37847,45.0523,7.6565,270,13.88,-0.2
2,3,38080,45.0531,7.65772,90,9.71,1.2
2,5,38147,45.0523,7.65645,270,13.87,-0.2
2,7,38352,45.0531,7.65635,90,6.92,0
2,5,38447,45.0523,7.6564,270,13.87,-1.3
2,3,38580,45.0531,7.65778,90,9.7,-0.9
2,6,38599,45.0532,7.65768,270,12.56,-9.9
2,6,38699,45.0532,7.65766,270,11.56,-9.9
2,5,38747,45.0523,7.65635,270,13.88,0.5
2,6,38799,45.0532,7.65765,270,10.56,-9.9
2,6,38899,45.0532,7.65764,270,9.56,-9.9
2,7,38952,45.0531,7.6564,90,6.92,0.1
2,6,38999,45.0532,7.65763,270,8.56,-9.9
2,5,39047,45.0523,7.6563,270,13.88,0.5
2,3,39080,45.0531,7.65784,90,9.71,0.7
2,6,39099,45.0532,7.65762,270,7.62,-4.1
2,6,39199,45.0532,7.65761,270,7.62,-0.2
2,6,39299,45.0532,7.6576,270,7.61,-0.4
2,5,39347,45.0523,7.65624,270,13.88,0
2,6,39399,45.0532,7.65759,270,7.63,0
2,7,39552,45.0531,7.65646,90,6.92,-0.5
2,3,39580,45.0531,7.6579,90,9.7,-1.4
2,5,39647,45.0523,7.65619,270,13.87,-0.3
2,5,39947,45.0523,7.65614,270,13.87,0
2,6,39999,45.0532,7.65753,270,7.63,1.2
2,0,40023,45.0531,7.65787,270,20.81,-1.8
2,0,40123,45.0531,7.65784,270,20.82,0.8
2,7,40152,45.0531,7.65651,90,6.92,-0.4
2,3,40180,45.0531,7.65798,99.2,9.7,-0.9
2,0,40223,45.0531,7.65781,270,20.81,-0.1
2,5,40247,45.0523,7.65609,270,13.87,-1.2
2,3,40280,45.0531,7.65799,104.6,9.71,0
2,0,40323,45.0531,7.65779,270,20.82,0.8
2,3,40380,45.0531,7.658,110.2,9.71,0
2,3,40480,45.0531,7.65801,115.9,9.7,-1.4
2,0,40523,45.0531,7.65774,270,20.82,0.3
2,5,40547,45.0523,7.65604,270,13.87,-0.1
2,3,40580,45.0531,7.65802,123.1,9.71,0.4
2,6,40599,45.0532,7.65747,270,7.62,0.3
2,3,40680,45.0531,7.65803,123.1,9.71,0.7
2,0,40723,45.0531,7.65768,270,20.81,-0.7
2,7,40752,45.0531,7.65656,90,6.92,0.1
2,3,40780,45.0531,7.65804,123.1,9.7,-0.2
2,5,40847,45.0523,7.65598,270,13.88,0.6
2,3,40880,45.0531,7.65805,123.1,9.7,0
2,0,40923,45.0531,7.65763,270,20.81,0.8
2,0,41123,45.0531,7.65758,270,20.81,0
2,5,41147,45.0523,7.65593,270,13.87,0.5
2,6,41199,45.0532,7.65742,270,7.62,-0.2
2,0,41323,45.0531,7.65753,270,20.82,0.3
2,7,41352,45.0531,7.65661,90,6.93,0.2
2,3,41380,45.053,7.65809,123.1,9.71,0.8
2,5,41447,45.0523,7.65588,270,13.87,-1.3
2,0,41523,45.0531,7.65747,270,20.81,0.3
2,0,41723,45.0531,7.65742,270,20.81,-1
2,5,41747,45.0523,7.65583,270,13.88,0.6
2,6,41799,45.0532,7.65736,270,7.61,-1.4
2,3,41880,45.053,7.65814,123.1,9.71,0.9
2,0,41923,45.0531,7.65737,270,20.81,0.2
2,7,41952,45.0531,7.65666,90,6.92,0.5
2,5,42047,45.0523,7.65578,270,13.87,0.2
2,0,42123,45.0531,7.65732,270,20.82,1.4
2,0,42323,45.0531,7.65727,270,20.81,-1.6
2,5,42347,45.0523,7.65572,270,13.88,0
2,3,42380,45.053,7.65819,123.1,9.71,0.6
2,6,42399,45.0532,7.6573,270,7.62,0.6
2,0,42523,45.0531,7.65721,270,20.82,1.5
2,7,42552,45.0531,7.65672,90,6.92,0.6
2,5,42647,45.0523,7.65567,270,13.87,0.2
2,0,42723,45.0531,7.65716,270,20.82,1.2
2,3,42880,45.053,7.65823,123.1,9.71,1.6
2,0,42923,45.0531,7.65711,270,20.82,1.6
2,5,42947,45.0523,7.65562,270,13.88,1.1
2,6,42999,45.0532,7.65724,270,7.61,-1.4
2,0,43123,45.0531,7.65706,270,20.81,-1.4
2,7,43152,45.0531,7.65677,90,6.92,-1.3
2,5,43247,45.0523,7.65557,270,13.87,-0.9
2,0,43323,45.0531,7.65701,270,20.81,0.6
2,3,43380,45.053,7.65828,123.1,9.71,-0.1
2,0,43523,45.0531,7.65695,270,20.82,0.2
2,5,43547,45.0523,7.65551,270,13.87,0.7
2,6,43599,45.0532,7.65719,270,7.62,0.6
2,0,43723,45.0531,7.6569,270,20.82,0.8
2,7,43752,45.0531,7.65682,90,6.93,-0.5
2,3,43780,45.0529,7.65831,127.5,9.71,0.4
2,5,43847,45.0523,7.65546,270,13.88,-0.2
2,3,43880,45.0529,7.65832,136.2,9.7,-1.6
2,0,43923,45.0531,7.65685,270,20.82,0.3
2,3,43980,45.0529,7.65832,145.5,9.7,-1.2
2,3,44080,45.0529,7.65832,154.8,9.71,0.1
2,0,44123,45.0531,7.6568,270,20.81,-1
2,5,44147,45.0523,7.65541,270,13.88,-0.2
2,3,44180,45.0529,7.65832,163.6,9.71,-0.2
2,6,44199,45.0532,7.65713,270,7.62,0.3
2,3,44280,45.0529,7.65833,168.6,9.7,0
2,0,44323,45.0531,7.65675,270,20.81,-0.9
2,7,44352,45.0531,7.65687,90,6.93,0.9
2,3,44380,45.0529,7.65833,168.6,9.71,1.2
2,3,44480,45.0529,7.65833,168.6,9.7,-0.1
2,0,44523,45.0531,7.65669,270,20.82,0
2,3,44580,45.0529,7.65833,168.6,9.71,-0.2
2,0,44723,45.0531,7.65664,270,20.81,-1.2
2,6,44799,45.0532,7.65707,270,7.63,0.2
2,0,44923,45.0531,7.65659,270,20.82,0.1
2,7,44952,45.0531,7.65692,90,6.92,-0.3
2,3,45080,45.0528,7.65834,168.6,9.7,-0.7
2,0,45123,45.0531,7.65654,270,20.82,0.8
2,0,45323,45.0531,7.65648,270,20.81,0.2
2,6,45399,45.0532,7.65702,270,7.62,0.5
2,0,45523,45.0531,7.65643,270,20.82,0.7
2,7,45552,45.0531,7.65698,90,6.93,1.1
2,3,45580,45.0528,7.65836,168.6,9.7,-0.2
2,0,45723,45.0531,7.65638,270,20.81,-1.1
2,0,45923,45.0531,7.65633,270,20.82,1.1
2,6,45999,45.0532,7.65696,270,7.61,-0.8
2,3,46080,45.0528,7.65837,168.6,9.71,0.2
2,0,46123,45.0531,7.65628,270,20.81,-1.1
2,7,46152,45.0531,7.65703,90,6.92,0.2
2,0,46323,45.0531,7.65622,270,20.81,0
2,3,46480,45.0527,7.65837,174.4,9.7,-0.8
2,0,46523,45.0531,7.65617,270,20.82,0.5
2,3,46580,45.0527,7.65837,178.5,9.71,-0.4
2,6,46599,45.0532,7.6569,270,7.61,-0.8
2,3,46680,45.0527,7.65837,182.6,9.71,-0.1
2,7,46752,45.0531,7.65708,90,6.93,-0.6
